Date,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL,A,AAP,AAPL,ACGL,ADM,ADP,AEE,ALB,AMT,APA,GOOGL
2000-01-25,49.18,92.12691075088505,0.94,1.72,11.11,40.05,33.38,8.97,42.75,17.21,38.47300021353833,41.37,86.55759455934415,0.85,1.72,6.72,24.89,11.13,5.93,33.43,13.16,38.47677343583173,1153769,1174509.7074715856,497145600,504900,1152774,2439778,405900,67200,788000,2097711,123844353.11894085
2000-01-26,48.6,92.12691075088505,0.98,1.71,10.94,41.14,32.75,8.59,41.31,17.42,38.47300021353833,41.75,86.55759455934415,0.84,1.68,6.69,24.86,11.26,6.15,32.16,13.01,38.47677343583173,1022357,1174509.7074715856,367158400,151200,1253432,1759379,324600,91200,578600,1452990,123844353.11894085
2000-01-27,49.98,92.12691075088505,0.97,1.67,11.0,40.64,32.88,8.94,39.75,16.88,38.47300021353833,41.82,86.55759455934415,0.84,1.7,6.59,24.46,11.24,6.26,31.05,12.41,38.47677343583173,868577,1174509.7074715856,340144000,219600,1256299,2568393,291100,83000,975700,1685376,123844353.11894085
2000-01-28,49.71,92.12691075088505,0.97,1.7,10.94,39.6,32.69,9.03,38.75,16.02,38.47300021353833,41.59,86.55759455934415,0.77,1.68,6.48,23.85,11.03,6.11,30.6,12.33,38.47677343583173,1609238,1174509.7074715856,423348800,75600,1231493,1732142,610400,90800,601300,1298451,123844353.11894085
2000-01-31,48.33,92.12691075088505,0.9,1.67,10.77,38.81,32.38,8.84,37.75,16.18,38.47300021353833,40.45,86.55759455934415,0.79,1.62,6.45,23.12,11.11,6.26,29.03,12.12,38.47677343583173,1040392,1174509.7074715856,701680000,102600,1482091,2152285,256700,114600,617700,2916144,123844353.11894085
2000-02-01,47.39,92.12691075088505,0.93,1.61,10.66,37.67,32.81,9.0,36.0,15.8,38.47300021353833,43.39,86.55759455934415,0.76,1.57,6.59,23.49,11.11,6.08,31.35,12.6,38.47677343583173,1404291,1174509.7074715856,318035200,612900,1291689,1747526,185200,59000,1191800,2036034,123844353.11894085
2000-02-02,51.41,92.12691075088505,0.9,1.57,10.77,38.27,32.81,8.72,39.0,16.42,38.47300021353833,46.75,86.55759455934415,0.75,1.56,6.48,22.21,11.11,6.11,31.76,12.58,38.47677343583173,1945177,1174509.7074715856,464195200,89100,812873,2998371,418500,122200,1714200,1730190,123844353.11894085
2000-02-03,53.78,92.12691075088505,0.9,1.56,10.71,36.48,32.56,8.81,39.5,16.88,38.47300021353833,47.52,86.55759455934415,0.79,1.53,6.48,23.7,11.24,6.11,32.37,12.64,38.47677343583173,1779514,1174509.7074715856,475193600,248400,729855,3202389,434400,61600,433200,1020327,123844353.11894085
2000-02-04,55.62,92.12691075088505,0.93,1.52,10.77,38.51,33.0,8.78,40.25,16.88,38.47300021353833,46.6,86.55759455934415,0.82,1.56,6.48,23.4,10.9,6.02,32.72,12.29,38.47677343583173,1145661,1174509.7074715856,425320000,43200,970531,1296743,378700,101400,754100,1398243,123844353.11894085
2000-02-07,55.57,92.12691075088505,0.96,1.57,10.66,38.07,31.94,8.56,39.25,15.96,38.47300021353833,48.58,86.55759455934415,0.87,1.61,6.48,22.67,10.84,6.02,31.25,12.7,38.47677343583173,1274277,1174509.7074715856,441067200,370800,618723,1554603,234900,62200,2011700,1336797,123844353.11894085
2000-02-08,57.76,92.12691075088505,1.02,1.62,10.66,37.27,31.75,8.78,38.75,16.45,38.47300021353833,48.28,86.55759455934415,0.87,1.64,6.44,22.7,10.88,5.93,33.98,12.26,38.47677343583173,1169707,1174509.7074715856,408643200,246600,640222,2684903,309900,70800,2194900,1311849,123844353.11894085
