Date,Open,Adj Close,Volume
2000-01-03,1469.25,1455.22,931800000
2000-01-04,1455.22,1399.42,1009000000
2000-01-05,1399.42,1402.11,1085500000
2000-01-06,1402.11,1403.45,1092300000
2000-01-07,1403.45,1441.47,1225200000
2000-01-10,1441.47,1457.6,1064800000
2000-01-11,1457.6,1438.56,1014000000
2000-01-12,1438.56,1432.25,974600000
2000-01-13,1432.25,1449.68,1030400000
2000-01-14,1449.68,1465.15,1085900000
2000-01-18,1465.15,1455.14,1056700000
2000-01-19,1455.14,1455.9,1087800000
2000-01-20,1455.9,1445.57,1100700000
2000-01-21,1445.57,1441.36,1209800000
2000-01-24,1441.36,1401.53,1115800000
2000-01-25,1401.53,1410.03,1073700000
2000-01-26,1410.03,1404.09,1117300000
2000-01-27,1404.09,1398.56,1129500000
2000-01-28,1398.56,1360.16,1095800000
2000-01-31,1360.16,1394.46,993800000
2000-02-01,1394.46,1409.28,981000000
2000-02-02,1409.28,1409.12,1038600000
2000-02-03,1409.12,1424.97,1146500000
2000-02-04,1424.97,1424.37,1045100000
2000-02-07,1424.37,1424.24,918100000
2000-02-08,1424.24,1441.72,1047700000
2000-02-09,1441.72,1411.71,1050500000
2000-02-10,1411.7,1416.83,1058800000
2000-02-11,1416.83,1387.12,1025700000
2000-02-14,1387.12,1389.94,927300000
2000-02-15,1389.94,1402.05,1092100000
2000-02-16,1402.05,1387.67,1018800000
2000-02-17,1387.67,1388.26,1034800000
2000-02-18,1388.26,1346.09,1042300000
2000-02-22,1346.09,1352.17,980000000
2000-02-23,1352.17,1360.69,993700000
2000-02-24,1360.69,1353.43,1215000000
2000-02-25,1353.43,1333.36,1065200000
2000-02-28,1333.36,1348.05,1026500000
2000-02-29,1348.05,1366.42,1204300000
2000-03-01,1366.42,1379.19,1274100000
2000-03-02,1379.19,1381.76,1198600000
2000-03-03,1381.76,1409.17,1150300000
2000-03-06,1409.17,1391.28,1029000000
2000-03-07,1391.28,1355.62,1314100000
2000-03-08,1355.62,1366.7,1203000000
2000-03-09,1366.7,1401.69,1123000000
2000-03-10,1401.69,1395.07,1138800000
2000-03-13,1395.07,1383.62,1016100000
2000-03-14,1383.62,1359.15,1094000000
2000-03-15,1359.15,1392.14,1302800000
2000-03-16,1392.15,1458.47,1482300000
2000-03-17,1458.47,1464.47,1295100000
2000-03-20,1464.47,1456.63,920800000
2000-03-21,1456.63,1493.87,1065900000
2000-03-22,1493.87,1500.64,1075000000
2000-03-23,1500.64,1527.35,1078300000
2000-03-24,1527.35,1527.46,1052200000
2000-03-27,1527.46,1523.86,901000000
2000-03-28,1523.86,1507.73,959100000
2000-03-29,1507.73,1508.52,1061900000
2000-03-30,1508.52,1487.92,1193400000
2000-03-31,1487.92,1498.58,1227400000
2000-04-03,1498.58,1505.97,1021700000
2000-04-04,1505.98,1494.73,1515460000
2000-04-05,1494.73,1487.37,1110300000
2000-04-06,1487.37,1501.34,1008000000
2000-04-07,1501.34,1516.35,891600000
2000-04-10,1516.35,1504.46,853700000
2000-04-11,1504.46,1500.59,971400000
2000-04-12,1500.59,1467.17,1175900000
2000-04-13,1467.17,1440.51,1032000000
2000-04-14,1440.51,1356.56,1279700000
2000-04-17,1356.56,1401.44,1204700000
2000-04-18,1401.44,1441.61,1109400000
2000-04-19,1441.61,1427.47,1001400000
2000-04-20,1427.47,1434.54,896200000
2000-04-24,1434.54,1429.86,868700000
2000-04-25,1429.86,1477.44,1071100000
2000-04-26,1477.44,1460.99,999600000
2000-04-27,1460.99,1464.92,1111000000
2000-04-28,1464.92,1452.43,984600000
2000-05-01,1452.43,1468.25,966300000
2000-05-02,1468.25,1446.29,1011500000
2000-05-03,1446.29,1415.1,991600000
2000-05-04,1415.1,1409.57,925800000
2000-05-05,1409.57,1432.63,805500000
2000-05-08,1432.63,1424.17,787600000
2000-05-09,1424.17,1412.14,896600000
2000-05-10,1412.14,1383.05,1006400000
