Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH
2000-01-14,41.79,71.07848214285714,9.13,108.75364190886256,50.76,11.05,18.68,38.5,27.81,23.57,25.643522493933173,12.74,5.88,26.75990484620491,1.65,100.4654716358839,3.01,7.48,4.42,123.26110932475885,75.23147818499127,25.87,34.68,21.92,29.75,30.07,35.5,15.94,16.44,14.5,4.52,8.48,15.71,25.2,12.01,6.29,22.0,19.09,7.1,80.24488994864271,1316916,7727692.546583851,11217621,816232.9207032651,8971200,4230618,647493,2877900,4535936,1855800,2903558.1295501213,13150200,244800,2787565.479088294,38908800,2627121.4379947227,1209210,1429000,1019600,1076188.7459807075,4043630.4799301918,5404800,3750300,1055400,5759600,5806130,47100,17055828,569200,236200,999200,422400,895200,167800,274400,9292800,550800,2048700,1164000,1579541.53595011
2000-01-18,43.7,71.07848214285714,8.94,108.75364190886256,51.32,10.91,18.72,35.69,27.03,23.1,25.643522493933173,12.78,5.99,26.75990484620491,1.64,100.4654716358839,3.05,7.82,4.28,123.26110932475885,75.23147818499127,25.22,34.17,22.28,30.09,28.73,35.12,15.73,17.06,17.0,4.78,8.29,16.0,25.6,11.86,6.02,21.22,18.97,6.95,80.24488994864271,2101753,7727692.546583851,11348831,816232.9207032651,8658100,2381149,927318,3359400,3782399,1778400,2903558.1295501213,5487000,485200,2787565.479088294,38672000,2627121.4379947227,1677390,776600,3671600,1076188.7459807075,4043630.4799301918,4870000,2082900,1328700,5947800,5554086,87500,11459615,745600,351300,903200,216600,1206400,112900,520300,5514400,268000,1563000,540000,1579541.53595011
2000-01-19,42.78,71.07848214285714,8.75,108.75364190886256,53.5,10.89,19.36,40.33,26.52,22.64,25.643522493933173,12.71,5.96,26.75990484620491,1.5,100.4654716358839,2.82,7.25,4.22,123.26110932475885,75.23147818499127,25.3,34.4,21.76,30.47,29.01,35.31,15.94,17.37,16.25,4.89,7.92,16.2,25.38,11.71,6.07,21.09,19.58,6.92,80.24488994864271,2624885,7727692.546583851,16849822,816232.9207032651,12070900,2603910,911020,2685000,4188481,2131500,2903558.1295501213,4270800,741600,2787565.479088294,81686400,2627121.4379947227,1005210,1220100,2106800,1076188.7459807075,4043630.4799301918,5507400,2193700,889100,4288100,4990157,117400,10596389,662400,314800,996800,232600,706400,74900,660200,7730400,638000,1985000,622200,1579541.53595011
2000-01-20,41.63,71.07848214285714,8.49,108.75364190886256,53.36,10.58,18.98,40.9,25.61,22.2,25.643522493933173,11.99,5.99,26.75990484620491,1.5,100.4654716358839,2.92,7.03,4.12,123.26110932475885,75.23147818499127,25.39,33.91,20.98,29.84,29.59,34.88,15.68,18.06,15.25,5.16,7.87,15.97,24.75,11.91,6.22,22.14,19.58,6.72,80.24488994864271,2007947,7727692.546583851,15429241,816232.9207032651,9460900,5330431,770903,15550500,4610534,1741500,2903558.1295501213,9132000,332000,2787565.479088294,39651200,2627121.4379947227,1096500,1744500,1270400,1076188.7459807075,4043630.4799301918,4823400,2136400,1538800,6083200,5225642,84400,8411342,998400,189800,563200,233200,1147600,106700,556000,8457600,550000,2603900,1163400,1579541.53595011
2000-01-21,42.02,71.07848214285714,8.26,108.75364190886256,55.5,10.53,19.66,49.25,25.33,21.8,25.643522493933173,12.27,5.99,26.75990484620491,1.49,100.4654716358839,2.86,7.08,4.09,123.26110932475885,75.23147818499127,24.82,32.87,20.88,29.54,29.39,34.88,15.11,18.7,14.62,5.81,7.69,15.95,23.95,11.86,5.96,24.59,19.42,6.88,80.24488994864271,1918336,7727692.546583851,18903505,816232.9207032651,8154300,5988773,1310873,9227100,5863769,2500200,2903558.1295501213,7913600,960000,2787565.479088294,25081600,2627121.4379947227,786420,1670100,461600,1076188.7459807075,4043630.4799301918,8538000,4051000,1622000,6105200,8309487,55000,13022802,1146800,393200,1504000,272200,666800,123100,1097200,12880800,1096000,2091200,1942800,1579541.53595011
2000-01-24,41.86,71.07848214285714,7.94,108.75364190886256,51.46,10.28,19.02,45.77,24.29,21.03,25.643522493933173,12.25,6.0,26.75990484620491,1.32,100.4654716358839,2.94,7.2,4.02,123.26110932475885,75.23147818499127,23.11,31.54,20.67,29.2,28.5,34.62,14.81,18.78,14.59,5.85,7.45,16.0,23.1,12.01,5.63,24.09,18.81,7.02,80.24488994864271,2095882,7727692.546583851,20606554,816232.9207032651,9853500,3413582,878528,4815300,5113278,1619400,2903558.1295501213,6917600,371200,2787565.479088294,51062400,2627121.4379947227,843540,1001400,758400,1076188.7459807075,4043630.4799301918,11304200,4206900,799200,5749800,5438177,74000,13734463,798200,292200,1003200,268300,2412400,179500,658900,9503200,549200,1712600,1599900,1579541.53595011
2000-01-25,41.37,71.07848214285714,7.84,108.75364190886256,51.55,10.06,18.55,45.29,24.78,20.9,25.643522493933173,12.09,6.06,26.75990484620491,1.35,100.4654716358839,2.76,7.03,3.78,123.26110932475885,75.23147818499127,23.54,31.64,18.28,30.22,28.75,34.19,15.03,18.88,14.56,5.32,7.45,15.67,23.55,12.12,5.63,22.12,18.44,6.95,80.24488994864271,1153769,7727692.546583851,22725507,816232.9207032651,11251900,7155967,694233,4178100,6337724,1553700,2903558.1295501213,3447000,1643200,2787565.479088294,38486400,2627121.4379947227,1060290,994500,5472800,1076188.7459807075,4043630.4799301918,12956800,3148700,4931900,3742800,5707513,70800,9903595,786200,98100,2020000,274700,1373200,110900,878400,8416000,620800,1878800,1480200,1579541.53595011
2000-01-26,41.75,71.07848214285714,7.86,108.75364190886256,47.65,10.06,18.29,47.79,25.45,21.27,25.643522493933173,12.11,6.81,26.75990484620491,1.29,100.4654716358839,2.65,7.14,3.98,123.26110932475885,75.23147818499127,23.06,31.86,18.02,31.28,29.54,33.94,15.03,18.93,14.06,5.1,8.01,15.6,23.01,12.78,5.62,22.12,18.97,7.02,80.24488994864271,1022357,7727692.546583851,14037397,816232.9207032651,16000800,9850823,724163,3650700,6858749,2623200,2903558.1295501213,3412200,1582000,2787565.479088294,29126400,2627121.4379947227,327930,821500,2132400,1076188.7459807075,4043630.4799301918,9491400,2233100,1739800,6589300,5614660,29900,7728771,471800,97500,1252000,648500,947200,98000,1525400,8797600,777200,1614400,594600,1579541.53595011
2000-01-27,41.82,71.07848214285714,8.16,108.75364190886256,45.6,10.93,19.02,43.42,25.76,21.18,25.643522493933173,11.89,6.24,26.75990484620491,1.19,100.4654716358839,2.65,6.91,3.91,123.26110932475885,75.23147818499127,22.23,32.62,17.35,31.49,30.07,33.19,14.86,19.52,13.38,4.77,7.83,15.54,22.96,13.55,5.53,21.03,18.89,7.04,80.24488994864271,868577,7727692.546583851,16105783,816232.9207032651,14797000,11235623,872070,1650600,7669339,1484400,2903558.1295501213,2785400,1392000,2787565.479088294,23321600,2627121.4379947227,1017960,421200,740400,1076188.7459807075,4043630.4799301918,12406600,3052200,3096400,4539700,8119066,49200,9058708,901200,184100,848800,274600,588400,179500,1427900,9053600,560600,1420800,715200,1579541.53595011
2000-01-28,41.59,71.07848214285714,8.44,108.75364190886256,44.35,10.87,18.08,42.75,26.59,21.22,25.643522493933173,12.38,6.36,26.75990484620491,1.17,100.4654716358839,2.57,6.91,4.0,123.26110932475885,75.23147818499127,23.34,33.16,16.72,30.39,30.98,32.31,15.16,19.77,12.56,4.69,7.59,12.82,22.88,13.35,5.37,20.86,18.69,7.15,80.24488994864271,1609238,7727692.546583851,13831338,816232.9207032651,10899900,7589338,830865,1899600,7592640,2543700,2903558.1295501213,4434400,1078000,2787565.479088294,44937600,2627121.4379947227,1465230,1775700,723600,1076188.7459807075,4043630.4799301918,12340000,4284500,1084000,3981200,10294504,76800,11834628,1041400,211000,2183200,321200,8204000,189100,723000,12754400,312600,1694200,907800,1579541.53595011
2000-01-31,40.45,71.07848214285714,8.62,108.75364190886256,47.32,11.07,17.87,42.06,27.42,20.98,25.643522493933173,12.42,6.43,26.75990484620491,1.12,100.4654716358839,2.59,7.25,3.77,123.26110932475885,75.23147818499127,23.77,33.95,17.09,31.02,31.9,31.88,15.59,19.87,12.31,4.58,7.83,12.87,22.7,14.22,5.41,20.5,18.12,7.13,80.24488994864271,1040392,7727692.546583851,11452194,816232.9207032651,12619500,7941338,769878,2177400,5492778,1296000,2903558.1295501213,3364800,600000,2787565.479088294,23894400,2627121.4379947227,529380,858700,1909200,1076188.7459807075,4043630.4799301918,9055200,3334100,952200,3717100,8390602,101600,10634544,717600,312000,964800,309100,6034800,80700,1685700,4790400,492400,2400900,1355400,1579541.53595011
